Curve,Tleaf,Ci,A,Species,Season,Plant
1,15.4,48,-0.477,Ecla,Winter,1
1,14.85,59.7,0.000881,Ecla,Winter,1
1,14.62,63.3,2.87,Ecla,Winter,1
1,15.22,141,4.77,Ecla,Winter,1
1,15.23,146,6.56,Ecla,Winter,1
1,14.96,152,14.7,Ecla,Winter,1
1,15.08,156,9.7,Ecla,Winter,1
1,15.08,494,18.3,Ecla,Winter,1
1,14.93,683,19.7,Ecla,Winter,1
1,15.17,1220,22.1,Ecla,Winter,1
2,24.96,183,8.26,Ecla,Winter,1
2,25.18,150,5.95,Ecla,Winter,1
2,25.19,104,3.35,Ecla,Winter,1
2,25.36,60.7,-0.241,Ecla,Winter,1
2,25.49,52.9,-0.892,Ecla,Winter,1
2,25.24,256,10.8,Ecla,Winter,1
2,25.15,394,19.4,Ecla,Winter,1
2,25.3,587,25,Ecla,Winter,1
2,25.2,842,28.2,Ecla,Winter,1
2,24.96,1370,32.7,Ecla,Winter,1
3,31.94,201,7.1,Ecla,Winter,1
3,31.76,167,4.47,Ecla,Winter,1
3,31.78,123,1.61,Ecla,Winter,1
3,32,74.1,-1.63,Ecla,Winter,1
3,32.4,66.6,-2.28,Ecla,Winter,1
3,32.08,266,9.6,Ecla,Winter,1
3,31.73,402,18.2,Ecla,Winter,1
3,32,567,24.4,Ecla,Winter,1
3,31.98,776,30.1,Ecla,Winter,1
3,31.92,1250,36.3,Ecla,Winter,1
4,15.2,209,7.34,Ecla,Winter,2
4,15.26,167,5.46,Ecla,Winter,2
4,15.34,111,3.31,Ecla,Winter,2
4,15.47,57.9,0.128,Ecla,Winter,2
4,15.53,47.6,-0.17,Ecla,Winter,2
4,15.52,291,9.44,Ecla,Winter,2
4,15.63,493,13.3,Ecla,Winter,2
4,15.7,731,15.3,Ecla,Winter,2
4,15.82,1010,17.3,Ecla,Winter,2
4,15.67,1600,17.7,Ecla,Winter,2
5,24.8,200,7.37,Ecla,Winter,2
5,24.93,164,5.12,Ecla,Winter,2
5,25.2,115,2.5,Ecla,Winter,2
5,25.32,64.5,-0.579,Ecla,Winter,2
5,25.56,57.4,-1.16,Ecla,Winter,2
5,25.45,267,10.7,Ecla,Winter,2
5,25.1,444,16.4,Ecla,Winter,2
5,25.25,656,20.4,Ecla,Winter,2
5,25.21,931,22.1,Ecla,Winter,2
5,25.07,1470,24.9,Ecla,Winter,2
6,32.12,199,6.04,Ecla,Winter,2
6,32.21,166,3.93,Ecla,Winter,2
6,32.22,124,1.27,Ecla,Winter,2
6,32.15,74.6,-1.36,Ecla,Winter,2
6,32.06,67.7,-1.94,Ecla,Winter,2
6,31.93,257,9.3,Ecla,Winter,2
6,32,397,16.4,Ecla,Winter,2
6,32.24,550,22.5,Ecla,Winter,2
6,32.1,753,26.1,Ecla,Winter,2
6,32.21,1200,30.5,Ecla,Winter,2
7,15.16,215,6.57,Ecla,Winter,3
7,15.2,171,4.95,Ecla,Winter,3
7,15.14,118,2.54,Ecla,Winter,3
7,15.25,56.1,0.218,Ecla,Winter,3
7,15.39,46.9,-0.276,Ecla,Winter,3
7,15.29,286,9.58,Ecla,Winter,3
7,15.33,468,15.5,Ecla,Winter,3
7,15.23,689,19.4,Ecla,Winter,3
7,15.4,966,21.3,Ecla,Winter,3
7,15.79,1540,23.6,Ecla,Winter,3
8,25.18,197,7.44,Ecla,Winter,3
8,25.14,159,5.38,Ecla,Winter,3
8,25,117,2.49,Ecla,Winter,3
8,25.07,65.9,-0.749,Ecla,Winter,3
8,25.01,60.8,-1.39,Ecla,Winter,3
8,25.14,257,11.5,Ecla,Winter,3
8,24.91,416,19.2,Ecla,Winter,3
8,24.8,599,26.4,Ecla,Winter,3
8,24.73,851,30.4,Ecla,Winter,3
8,24.99,1380,35.3,Ecla,Winter,3
9,31.78,196,7.4,Ecla,Winter,3
9,32.15,170,4.19,Ecla,Winter,3
9,31.94,128,1.1,Ecla,Winter,3
9,32.17,77.5,-1.91,Ecla,Winter,3
