Species,Leaf,Curve,Photo,Ci,Tleaf,Season,fitgroup
Picea mariana,1,1,0.281785,45.100000,10.140000,Cool,Cool
Picea mariana,1,1,1.259254,83.800000,10.140000,Cool,Cool
Picea mariana,1,1,2.439311,170.000000,10.150000,Cool,Cool
Picea mariana,1,1,2.804206,264.000000,10.080000,Cool,Cool
Picea mariana,1,1,3.009175,359.000000,10.220000,Cool,Cool
Picea mariana,1,1,2.993185,364.000000,9.980000,Cool,Cool
Picea mariana,1,1,3.212470,554.000000,10.230000,Cool,Cool
Picea mariana,1,1,3.316948,749.000000,10.250000,Cool,Cool
Picea mariana,1,1,3.387690,942.000000,10.300000,Cool,Cool
Picea mariana,2,2,0.240427,41.800000,10.030000,Cool,Cool
Picea mariana,2,2,1.249241,71.700000,10.070000,Cool,Cool
Picea mariana,2,2,2.918706,142.000000,10.040000,Cool,Cool
Picea mariana,2,2,3.396420,227.000000,9.970000,Cool,Cool
Picea mariana,2,2,3.713857,324.000000,10.060000,Cool,Cool
Picea mariana,2,2,3.721872,328.000000,10.050000,Cool,Cool
Picea mariana,2,2,4.007050,527.000000,10.000000,Cool,Cool
Picea mariana,2,2,4.150401,719.000000,10.050000,Cool,Cool
Picea mariana,2,2,4.236084,913.000000,10.050000,Cool,Cool
Picea mariana,3,3,0.289318,44.200000,10.350000,Cool,Cool
Picea mariana,3,3,1.330872,77.900000,10.360000,Cool,Cool
Picea mariana,3,3,2.801740,156.000000,10.350000,Cool,Cool
Picea mariana,3,3,3.301656,247.000000,10.330000,Cool,Cool
Picea mariana,3,3,3.565231,345.000000,10.330000,Cool,Cool
Picea mariana,3,3,3.566079,346.000000,10.320000,Cool,Cool
Picea mariana,3,3,3.822145,539.000000,10.330000,Cool,Cool
Picea mariana,3,3,3.950679,732.000000,10.340000,Cool,Cool
Picea mariana,3,3,4.042131,927.000000,10.410000,Cool,Cool
Picea mariana,4,4,0.367483,43.100000,10.280000,Cool,Cool
Picea mariana,4,4,1.942724,78.600000,10.370000,Cool,Cool
Picea mariana,4,4,4.024181,156.000000,10.210000,Cool,Cool
Picea mariana,4,4,4.729897,246.000000,10.190000,Cool,Cool
Picea mariana,4,4,5.109056,339.000000,10.290000,Cool,Cool
Picea mariana,4,4,5.178685,341.000000,10.680000,Cool,Cool
Picea mariana,4,4,5.503793,535.000000,10.360000,Cool,Cool
Picea mariana,4,4,5.685885,726.000000,10.350000,Cool,Cool
Picea mariana,4,4,5.800856,920.000000,10.340000,Cool,Cool
Picea mariana,5,5,0.424862,45.600000,10.200000,Cool,Cool
Picea mariana,5,5,1.754832,81.600000,10.160000,Cool,Cool
Picea mariana,5,5,3.458347,161.000000,10.210000,Cool,Cool
Picea mariana,5,5,4.040139,250.000000,10.350000,Cool,Cool
Picea mariana,5,5,4.316540,342.000000,10.170000,Cool,Cool
Picea mariana,5,5,4.342910,346.000000,10.290000,Cool,Cool
Picea mariana,5,5,4.624429,536.000000,10.140000,Cool,Cool
Picea mariana,5,5,4.787648,727.000000,10.200000,Cool,Cool
Picea mariana,5,5,4.879695,921.000000,10.170000,Cool,Cool
Picea mariana,6,6,0.249612,45.600000,10.390000,Cool,Cool
Picea mariana,6,6,1.058833,81.300000,10.330000,Cool,Cool
Picea mariana,6,6,2.121667,162.000000,10.350000,Cool,Cool
Picea mariana,6,6,2.467081,251.000000,10.340000,Cool,Cool
Picea mariana,6,6,2.650294,351.000000,10.210000,Cool,Cool
Picea mariana,6,6,2.666569,351.000000,10.400000,Cool,Cool
Picea mariana,6,6,2.858384,544.000000,10.450000,Cool,Cool
Picea mariana,6,6,2.951365,740.000000,10.430000,Cool,Cool
Picea mariana,6,6,3.017664,935.000000,10.490000,Cool,Cool
Picea mariana,1,7,-0.258628,51.800000,20.430000,Cool,Cool
Picea mariana,1,7,0.609570,85.000000,20.420000,Cool,Cool
Picea mariana,1,7,2.187279,156.000000,19.920000,Cool,Cool
Picea mariana,1,7,3.313965,234.000000,20.190000,Cool,Cool
Picea mariana,1,7,3.814381,319.000000,20.440000,Cool,Cool
Picea mariana,1,7,3.776395,323.000000,19.670000,Cool,Cool
Picea mariana,1,7,4.333941,495.000000,20.460000,Cool,Cool
Picea mariana,1,7,4.614017,678.000000,20.480000,Cool,Cool
Picea mariana,1,7,4.789785,862.000000,20.500000,Cool,Cool
Picea mariana,2,8,-0.362945,51.600000,20.700000,Cool,Cool
Picea mariana,2,8,0.594288,80.300000,20.680000,Cool,Cool
Picea mariana,2,8,2.418780,145.000000,20.760000,Cool,Cool
Picea mariana,2,8,3.961379,216.000000,20.670000,Cool,Cool
Picea mariana,2,8,4.694722,296.000000,20.470000,Cool,Cool
Picea mariana,2,8,4.735439,300.000000,20.680000,Cool,Cool
Picea mariana,2,8,5.470916,479.000000,20.680000,Cool,Cool
Picea mariana,2,8,5.846697,662.000000,20.680000,Cool,Cool
Picea mariana,2,8,6.064859,851.000000,20.580000,Cool,Cool
Picea mariana,3,9,-0.036050,59.800000,20.320000,Cool,Cool
Picea mariana,3,9,0.845788,88.900000,20.350000,Cool,Cool
Picea mariana,3,9,2.404124,149.000000,20.410000,Cool,Cool
Picea mariana,3,9,3.655837,211.000000,20.410000,Cool,Cool
Picea mariana,3,9,4.324538,282.000000,20.430000,Cool,Cool
