Index,Species,Leaf,Curve,Photo,Cond,Ci,Trmmol,VpdL,CO2S,Tleaf,Season,fitgroup
0,Picea mariana,1,1,0.5437635149183095,0.317,364.0,1.31,0.429,380.92,283.13,Cool,Cool
1,Picea mariana,1,1,1.2938160023156076,0.299,264.0,1.29,0.44799999999999995,280.57,283.22999999999996,Cool,Cool
2,Picea mariana,1,1,2.3811236170573977,0.276,170.0,1.26,0.473,184.64,283.29999999999995,Cool,Cool
3,Picea mariana,1,1,2.927529813060996,0.255,83.8,1.22,0.494,91.68,283.28999999999996,Cool,Cool
4,Picea mariana,1,1,3.1270764055534523,0.242,45.1,1.2,0.509,47.4,283.28999999999996,Cool,Cool
5,Picea mariana,1,1,3.1094700702484914,0.237,359.0,1.19,0.518,381.07,283.37,Cool,Cool
6,Picea mariana,1,1,3.3146209149919,0.23199999999999998,554.0,1.18,0.525,579.04,283.38,Cool,Cool
7,Picea mariana,1,1,3.4103213860271615,0.22899999999999998,749.0,1.18,0.53,776.77,283.4,Cool,Cool
8,Picea mariana,1,1,3.4773100096522476,0.22399999999999998,942.0,1.17,0.5379999999999999,973.57,283.45,Cool,Cool
9,Picea mariana,2,2,0.6793045777516331,0.217,324.0,0.821,0.504,363.81,283.21,Cool,Cool
10,Picea mariana,2,2,1.55925883322421,0.21100000000000002,227.0,0.8059999999999999,0.509,265.64,283.12,Cool,Cool
11,Picea mariana,2,2,3.0145793904889464,0.19899999999999998,142.0,0.809,0.513,172.49,283.19,Cool,Cool
12,Picea mariana,2,2,4.008183822861763,0.20199999999999999,71.7,0.809,0.514,85.97,283.21999999999997,Cool,Cool
13,Picea mariana,2,2,4.392794161059907,0.203,41.8,0.8109999999999999,0.51,45.55,283.17999999999995,Cool,Cool
14,Picea mariana,2,2,4.401258978387706,0.20199999999999999,328.0,0.812,0.51,366.51,283.2,Cool,Cool
15,Picea mariana,2,2,4.700337700838361,0.203,527.0,0.8170000000000001,0.502,565.09,283.15,Cool,Cool
16,Picea mariana,2,2,4.850112407772782,0.201,719.0,0.8220000000000001,0.502,761.58,283.2,Cool,Cool
17,Picea mariana,2,2,4.941498413562102,0.20199999999999999,913.0,0.826,0.49700000000000005,958.61,283.2,Cool,Cool
18,Picea mariana,3,3,0.6329060962111253,0.235,346.0,1.35,0.643,379.56,283.46999999999997,Cool,Cool
19,Picea mariana,3,3,1.4573300313647761,0.24,247.0,1.33,0.6509999999999999,280.16,283.47999999999996,Cool,Cool
20,Picea mariana,3,3,2.756216269870434,0.244,156.0,1.29,0.6709999999999999,183.43,283.5,Cool,Cool
21,Picea mariana,3,3,3.5532908500660714,0.243,77.9,1.3,0.6679999999999999,91.53,283.51,Cool,Cool
22,Picea mariana,3,3,3.8256240874709584,0.231,44.2,1.31,0.664,47.19,283.5,Cool,Cool
23,Picea mariana,3,3,3.826312973993242,0.218,345.0,1.3,0.665,380.38,283.47999999999996,Cool,Cool
24,Picea mariana,3,3,4.070497533171245,0.217,539.0,1.3,0.664,578.02,283.47999999999996,Cool,Cool
25,Picea mariana,3,3,4.191842732204619,0.19899999999999998,732.0,1.29,0.6679999999999999,775.74,283.48999999999995,Cool,Cool
26,Picea mariana,3,3,4.281310427984512,0.18899999999999997,927.0,1.31,0.6679999999999999,974.23,283.56,Cool,Cool
27,Picea mariana,4,4,0.8932331353078141,0.16699999999999998,341.0,1.64,0.515,371.77,283.83,Cool,Cool
28,Picea mariana,4,4,2.1722084735580687,0.162,246.0,1.59,0.49700000000000005,273.56,283.34,Cool,Cool
29,Picea mariana,4,4,4.063427197903951,0.161,156.0,1.56,0.509,178.68,283.35999999999996,Cool,Cool
30,Picea mariana,4,4,5.217377770253927,0.161,78.6,1.55,0.528,89.82,283.52,Cool,Cool
31,Picea mariana,4,4,5.6207165574804065,0.163,43.1,1.53,0.53,46.71,283.42999999999995,Cool,Cool
32,Picea mariana,4,4,5.697350368996175,0.163,339.0,1.53,0.53,372.4,283.44,Cool,Cool
33,Picea mariana,4,4,6.00819912788485,0.16699999999999998,535.0,1.51,0.5429999999999999,571.37,283.51,Cool,Cool
34,Picea mariana,4,4,6.183926070864142,0.168,726.0,1.5,0.546,766.47,283.5,Cool,Cool
35,Picea mariana,4,4,6.297852523984636,0.17,920.0,1.5,0.5489999999999999,964.56,283.48999999999995,Cool,Cool
36,Picea mariana,5,5,0.7324482147717283,0.32899999999999996,346.0,1.33,0.5720000000000001,377.42,283.44,Cool,Cool
37,Picea mariana,5,5,1.6645762025891873,0.331,250.0,1.34,0.5660000000000001,278.71,283.5,Cool,Cool
38,Picea mariana,5,5,3.040424160836065,0.317,161.0,1.34,0.5529999999999999,182.47,283.35999999999996,Cool,Cool
39,Picea mariana,5,5,3.8518674448619623,0.304,81.6,1.32,0.551,91.67,283.31,Cool,Cool
40,Picea mariana,5,5,4.102560879579552,0.298,45.6,1.29,0.563,47.42,283.34999999999997,Cool,Cool
41,Picea mariana,5,5,4.126855031037485,0.297,342.0,1.24,0.5760000000000001,377.13,283.32,Cool,Cool
42,Picea mariana,5,5,4.362017714091851,0.28600000000000003,536.0,1.22,0.5670000000000001,574.59,283.28999999999996,Cool,Cool
43,Picea mariana,5,5,4.499361451757716,0.28300000000000003,727.0,1.15,0.5820000000000001,771.96,283.34999999999997,Cool,Cool
44,Picea mariana,5,5,4.577918875071155,0.28,921.0,1.11,0.589,970.66,283.32,Cool,Cool
45,Picea mariana,6,6,0.4692950836521165,0.16,351.0,0.958,0.598,380.49,283.35999999999996,Cool,Cool
46,Picea mariana,6,6,1.0721809232176016,0.157,251.0,0.956,0.609,279.97,283.48999999999995,Cool,Cool
47,Picea mariana,6,6,1.983816737127379,0.151,162.0,0.94,0.621,184.57,283.5,Cool,Cool
48,Picea mariana,6,6,2.50171667309849,0.151,81.3,0.937,0.622,92.09,283.47999999999996,Cool,Cool
49,Picea mariana,6,6,2.6775978780020337,0.149,45.6,0.937,0.627,47.77,283.53999999999996,Cool,Cool
50,Picea mariana,6,6,2.694181688840638,0.159,351.0,0.965,0.608,380.89,283.54999999999995,Cool,Cool
51,Picea mariana,6,6,2.866796708301412,0.155,544.0,0.9590000000000001,0.616,578.07,283.59999999999997,Cool,Cool
52,Picea mariana,6,6,2.9491247979953563,0.16,740.0,0.971,0.605,775.93,283.58,Cool,Cool
53,Picea mariana,6,6,3.010151539801836,0.15,935.0,0.945,0.628,975.41,283.64,Cool,Cool
54,Picea mariana,1,7,0.21352685586892314,0.135,323.0,1.69,1.26,372.98,292.82,Cool,Cool
55,Picea mariana,1,7,0.8725321817999337,0.12,234.0,1.64,1.37,278.96,293.34,Cool,Cool
56,Picea mariana,1,7,2.0703267130323972,0.11800000000000001,156.0,1.59,1.36,185.21,293.07,Cool,Cool
57,Picea mariana,1,7,3.063578923230565,0.11,85.0,1.56,1.42,94.82,293.57,Cool,Cool
58,Picea mariana,1,7,3.894641981179944,0.10800000000000001,51.8,1.55,1.44,49.44,293.58,Cool,Cool
59,Picea mariana,1,7,3.8985348834659415,0.106,319.0,1.47,1.39,377.39,293.59,Cool,Cool
60,Picea mariana,1,7,4.509239570807703,0.10400000000000001,495.0,1.46,1.42,570.79,293.60999999999996,Cool,Cool
61,Picea mariana,1,7,4.771562085988962,0.0997,678.0,1.41,1.41,766.56,293.63,Cool,Cool
62,Picea mariana,1,7,4.9375576717431535,0.0975,862.0,1.39,1.43,962.64,293.65,Cool,Cool
63,Picea mariana,2,8,0.27962949106424856,0.16699999999999998,296.0,1.61,0.9790000000000001,349.26,293.62,Cool,Cool
