Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Vcmax25_1, 1.35910127269e-08, 1.4338179805e-08, 2.5565211164e-10, 7.00551767418e-12, 4.17185807669e-08, 3.60222422004e-10, 3.72056860086e-09, 9.15122987743e-09, 1.83329727531e-08, 5.47147106422e-08
Vcmax25_2, 1.01203538353e-08, 1.08169899585e-08, 1.55508040793e-10, 2.4721852686e-12, 3.16310075097e-08, 2.25935791066e-10, 2.68749545883e-09, 6.57272317362e-09, 1.38303190881e-08, 4.01615911037e-08
Vcmax25_3, 1.11092227312e-08, 1.16644501479e-08, 1.9695988851e-10, 5.56060779088e-12, 3.4863908719e-08, 2.57847032818e-10, 2.90671553534e-09, 7.27410256856e-09, 1.5358029011e-08, 4.41044292504e-08
Vcmax25_4, 7.73799591544e-09, 8.22927668319e-09, 1.49067369262e-10, 5.5379523914e-12, 2.37385588774e-08, 2.23094788265e-10, 2.14571973468e-09, 5.16931496981e-09, 1.04055333025e-08, 2.98475495651e-08
Vcmax25_5, 1.15025629808e-08, 1.21672539501e-08, 2.32784035944e-10, 5.55097475303e-12, 3.71579703653e-08, 2.94283534064e-10, 2.9723433366e-09, 7.63995400973e-09, 1.58429377184e-08, 4.56726022801e-08
Vcmax25_6, 1.5912656874e-08, 1.64686745197e-08, 3.11051902842e-10, 5.69775000466e-13, 4.92910496889e-08, 3.62499442183e-10, 4.50076746857e-09, 1.05793645571e-08, 2.15221729604e-08, 6.07574562562e-08
Jfac, 1.79655574356, 0.504168866206, 0.00748798034305, 0.831620077463, 2.79488039368, 0.814392997135, 1.45610039412, 1.79215534578, 2.13317135728, 2.78686461862
Rdfac, 0.00624290995055, 0.00153171186982, 3.53425077298e-05, 0.00500068391794, 0.00906986086806, 0.00502725667557, 0.00529497804339, 0.00574823015978, 0.00660806571213, 0.0103038262902
Eaj, 40093.5917884, 9998.66309694, 142.259509619, 21986.4091706, 60929.0177515, 20369.2145767, 33308.6521027, 39953.1129705, 46983.9899701, 59935.1195004
Eav, 59913.7749234, 9935.14867811, 161.032520879, 40750.8964104, 79467.0038167, 40568.2139002, 53254.7417986, 59719.2475088, 66795.2398893, 79430.268787
Ear, 1236.24884536, 1246.14610792, 25.6156033266, 0.135232327051, 3711.99388649, 34.1521788339, 359.595852319, 841.281397499, 1721.60994952, 4557.37188479
delSj, 639.896159919, 9.94942787541, 0.136982082111, 620.400343942, 659.353008124, 620.442720173, 633.063909754, 639.914056825, 646.490536292, 659.576765211
delSv, 640.013822169, 9.87084399451, 0.142493672721, 621.363786822, 659.847960833, 620.483116044, 633.230724577, 640.083931604, 646.619082098, 659.163685064
